Collection,Scanner,Ballot id,Contest,Selections
pbc2,scanner1,bid202,con2,sel2
pbc2,scanner1,bid203,con2,sel2
pbc2,scanner1,bid204,con2,sel2
pbc2,scanner1,bid205,con1,sel3
pbc2,scanner1,bid206,con1,sel2
pbc2,scanner1,bid207,con1,sel1
pbc2,scanner1,bid208,con1,sel1
pbc2,scanner1,bid208,con2,sel1
pbc2,scanner1,bid209,con1,sel2
pbc2,scanner1,bid209,con2,sel2
pbc2,scanner1,bid210,con2,sel2
pbc2,scanner1,bid211,con1,sel5
pbc2,scanner1,bid214,con1,sel4
pbc2,scanner1,bid214,con2,sel2
pbc2,scanner1,bid215,con1,sel5
pbc2,scanner1,bid216,con1,sel4
pbc2,scanner1,bid217,con2,sel1
pbc2,scanner1,bid219,con1,sel3
pbc2,scanner1,bid219,con2,sel1
pbc2,scanner1,bid221,con1,sel3
pbc2,scanner1,bid223,con2,sel1
pbc2,scanner1,bid224,con2,sel1
pbc2,scanner1,bid225,con1,sel3
pbc2,scanner1,bid225,con2,sel1
pbc2,scanner1,bid226,con1,sel1
pbc2,scanner1,bid226,con2,sel1
pbc2,scanner1,bid227,con2,sel1
pbc2,scanner1,bid228,con1,sel5
pbc2,scanner1,bid228,con2,sel2
pbc2,scanner1,bid229,con1,sel1
pbc2,scanner1,bid230,con1,sel3
pbc2,scanner1,bid230,con2,sel2
pbc2,scanner1,bid231,con2,sel1
pbc2,scanner1,bid233,con1,sel5
pbc2,scanner1,bid234,con1,sel3
pbc2,scanner1,bid235,con1,sel5
pbc2,scanner1,bid236,con1,sel3
pbc2,scanner1,bid236,con2,sel1
pbc2,scanner1,bid237,con1,sel1
pbc2,scanner1,bid237,con2,sel1
pbc2,scanner1,bid238,con2,sel1
pbc2,scanner1,bid241,con2,sel2
pbc2,scanner1,bid242,con2,sel2
pbc2,scanner1,bid243,con2,sel2
pbc2,scanner1,bid244,con1,sel4
pbc2,scanner1,bid244,con2,sel1
pbc2,scanner1,bid245,con1,sel2
pbc2,scanner1,bid246,con2,sel2
pbc2,scanner1,bid247,con1,sel3
pbc2,scanner1,bid247,con2,sel1
pbc2,scanner1,bid248,con1,sel4
pbc2,scanner1,bid249,con1,sel2
pbc2,scanner1,bid249,con2,sel1
pbc2,scanner1,bid252,con1,sel4
pbc2,scanner1,bid253,con2,sel2
pbc2,scanner1,bid254,con2,sel1
pbc2,scanner1,bid255,con1,sel5
pbc2,scanner1,bid256,con1,sel2
pbc2,scanner1,bid256,con2,sel1
pbc2,scanner1,bid257,con1,sel2
pbc2,scanner1,bid259,con2,sel2
pbc2,scanner1,bid260,con1,sel4
pbc2,scanner1,bid260,con2,sel2
pbc2,scanner1,bid261,con1,sel5
pbc2,scanner1,bid262,con1,sel2
pbc2,scanner1,bid263,con2,sel1
pbc2,scanner1,bid264,con1,sel1
pbc2,scanner1,bid265,con2,sel2
pbc2,scanner1,bid267,con1,sel1
pbc2,scanner1,bid267,con2,sel2
pbc2,scanner1,bid268,con1,sel3
pbc2,scanner1,bid268,con2,sel1
pbc2,scanner1,bid269,con2,sel2
pbc2,scanner1,bid270,con1,sel1
pbc2,scanner1,bid270,con2,sel1
pbc2,scanner1,bid271,con1,sel5
pbc2,scanner1,bid272,con1,sel1
pbc2,scanner1,bid273,con1,sel3
pbc2,scanner1,bid273,con2,sel1
pbc2,scanner1,bid275,con2,sel1
pbc2,scanner1,bid276,con1,sel1
pbc2,scanner1,bid277,con1,sel3
pbc2,scanner1,bid277,con2,sel1
pbc2,scanner1,bid278,con1,sel1
pbc2,scanner1,bid278,con2,sel1
pbc2,scanner1,bid279,con1,sel3
pbc2,scanner1,bid282,con1,sel2
pbc2,scanner1,bid282,con2,sel2
pbc2,scanner1,bid284,con1,sel4
pbc2,scanner1,bid284,con2,sel1
pbc2,scanner1,bid285,con1,sel5
pbc2,scanner1,bid285,con2,sel2
pbc2,scanner1,bid286,con2,sel2
pbc2,scanner1,bid287,con1,sel4
pbc2,scanner1,bid287,con2,sel1
pbc2,scanner1,bid288,con2,sel2
pbc2,scanner1,bid289,con2,sel2
pbc2,scanner1,bid290,con1,sel2
pbc2,scanner1,bid290,con2,sel2
pbc2,scanner1,bid291,con1,sel1
pbc2,scanner1,bid292,con1,sel5
pbc2,scanner1,bid292,con2,sel1
pbc2,scanner1,bid294,con1,sel4
pbc2,scanner1,bid297,con1,sel4
pbc2,scanner1,bid297,con2,sel1
pbc2,scanner1,bid298,con1,sel5
pbc2,scanner1,bid298,con2,sel1
pbc2,scanner1,bid299,con1,sel1
pbc2,scanner1,bid299,con2,sel2
pbc2,scanner1,bid300,con1,sel3
pbc2,scanner1,bid300,con2,sel2
pbc2,scanner1,bid301,con2,sel1
pbc2,scanner1,bid302,con1,sel1
pbc2,scanner1,bid302,con2,sel1
pbc2,scanner1,bid303,con2,sel2
pbc2,scanner1,bid304,con2,sel1
pbc2,scanner1,bid305,con2,sel2
pbc2,scanner1,bid306,con1,sel3
pbc2,scanner1,bid309,con2,sel2
pbc2,scanner1,bid310,con1,sel2
pbc2,scanner1,bid310,con2,sel2
pbc2,scanner1,bid311,con2,sel1
pbc2,scanner1,bid312,con1,sel4
pbc2,scanner1,bid313,con1,sel1
pbc2,scanner1,bid314,con2,sel1
pbc2,scanner1,bid315,con1,sel5
pbc2,scanner1,bid315,con2,sel1
pbc2,scanner1,bid317,con1,sel5
pbc2,scanner1,bid318,con2,sel2
pbc2,scanner1,bid319,con1,sel5
pbc2,scanner1,bid319,con2,sel2
pbc2,scanner1,bid320,con1,sel1
pbc2,scanner1,bid321,con1,sel5
pbc2,scanner1,bid321,con2,sel2
pbc2,scanner1,bid322,con2,sel1
pbc2,scanner1,bid323,con1,sel5
pbc2,scanner1,bid323,con2,sel1
pbc2,scanner1,bid324,con1,sel4
pbc2,scanner1,bid324,con2,sel1
pbc2,scanner1,bid325,con1,sel2
pbc2,scanner1,bid326,con2,sel1
pbc2,scanner1,bid327,con1,sel4
pbc2,scanner1,bid327,con2,sel1
pbc2,scanner1,bid328,con1,sel1
pbc2,scanner1,bid328,con2,sel2
pbc2,scanner1,bid329,con1,sel3
pbc2,scanner1,bid330,con2,sel1
pbc2,scanner1,bid331,con2,sel2
pbc2,scanner1,bid332,con1,sel1
pbc2,scanner1,bid333,con1,sel5
pbc2,scanner1,bid335,con1,sel2
pbc2,scanner1,bid335,con2,sel1
pbc2,scanner1,bid336,con1,sel3
pbc2,scanner1,bid339,con1,sel5
pbc2,scanner1,bid340,con1,sel5
pbc2,scanner1,bid341,con1,sel5
pbc2,scanner1,bid341,con2,sel2
pbc2,scanner1,bid342,con1,sel5
pbc2,scanner1,bid342,con2,sel1
pbc2,scanner1,bid343,con1,sel2
pbc2,scanner1,bid343,con2,sel2
pbc2,scanner1,bid344,con1,sel5
pbc2,scanner1,bid344,con2,sel1
pbc2,scanner1,bid345,con1,sel1
pbc2,scanner1,bid345,con2,sel2
pbc2,scanner1,bid346,con2,sel1
pbc2,scanner1,bid347,con2,sel1
pbc2,scanner1,bid348,con1,sel3
pbc2,scanner1,bid349,con2,sel2
pbc2,scanner1,bid350,con1,sel5
pbc2,scanner1,bid352,con1,sel4
pbc2,scanner1,bid353,con2,sel2
pbc2,scanner1,bid356,con1,sel3
pbc2,scanner1,bid357,con1,sel1
pbc2,scanner1,bid359,con2,sel2
pbc2,scanner1,bid361,con2,sel1
pbc2,scanner1,bid362,con1,sel5
pbc2,scanner1,bid363,con1,sel5
pbc2,scanner1,bid364,con2,sel1
pbc2,scanner1,bid365,con1,sel1
pbc2,scanner1,bid366,con1,sel4
pbc2,scanner1,bid366,con2,sel1
pbc2,scanner1,bid367,con1,sel1
pbc2,scanner1,bid367,con2,sel2
pbc2,scanner1,bid368,con1,sel3
pbc2,scanner1,bid368,con2,sel2
pbc2,scanner1,bid370,con2,sel1
pbc2,scanner1,bid371,con1,sel2
pbc2,scanner1,bid372,con1,sel2
pbc2,scanner1,bid373,con1,sel3
pbc2,scanner1,bid373,con2,sel2
pbc2,scanner1,bid375,con2,sel1
pbc2,scanner1,bid376,con2,sel2
pbc2,scanner1,bid377,con1,sel1
pbc2,scanner1,bid377,con2,sel1
pbc2,scanner1,bid380,con1,sel5
pbc2,scanner1,bid381,con1,sel5
pbc2,scanner1,bid382,con1,sel1
pbc2,scanner1,bid382,con2,sel1
pbc2,scanner1,bid383,con1,sel4
pbc2,scanner1,bid383,con2,sel1
pbc2,scanner1,bid384,con2,sel2
pbc2,scanner1,bid385,con1,sel3
pbc2,scanner1,bid385,con2,sel2
pbc2,scanner1,bid388,con1,sel2
pbc2,scanner1,bid388,con2,sel2
pbc2,scanner1,bid389,con1,sel4
pbc2,scanner1,bid390,con1,sel1
pbc2,scanner1,bid390,con2,sel1
pbc2,scanner1,bid391,con1,sel3
pbc2,scanner1,bid392,con2,sel1
pbc2,scanner1,bid393,con1,sel5
pbc2,scanner1,bid393,con2,sel1
pbc2,scanner1,bid395,con1,sel1
pbc2,scanner1,bid398,con2,sel1
pbc2,scanner1,bid400,con1,sel2
pbc2,scanner1,bid400,con2,sel2
