Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,pbc1,box1,95,stmp001615,bid95,,
1,pbc1,box1,21,stmp000357,bid21,,
2,pbc1,box2,21,stmp002057,bid121,,
3,pbc1,box1,47,stmp000799,bid47,,
4,pbc1,box2,27,stmp002159,bid127,,
5,pbc1,box2,8,stmp001836,bid108,,
6,pbc1,box1,4,stmp000068,bid4,,
7,pbc1,box2,95,stmp003315,bid195,,
8,pbc1,box1,49,stmp000833,bid49,,
9,pbc1,box1,61,stmp001037,bid61,,
10,pbc1,box2,2,stmp001734,bid102,,
11,pbc1,box2,52,stmp002584,bid152,,
12,pbc1,box1,38,stmp000646,bid38,,
13,pbc1,box2,3,stmp001751,bid103,,
14,pbc1,box2,30,stmp002210,bid130,,
15,pbc1,box1,82,stmp001394,bid82,,
16,pbc1,box2,7,stmp001819,bid107,,
17,pbc1,box1,84,stmp001428,bid84,,
18,pbc1,box1,68,stmp001156,bid68,,
19,pbc1,box2,93,stmp003281,bid193,,
20,pbc1,box2,50,stmp002550,bid150,,
21,pbc1,box2,66,stmp002822,bid166,,
22,pbc1,box1,13,stmp000221,bid13,,
23,pbc1,box1,55,stmp000935,bid55,,
24,pbc1,box2,39,stmp002363,bid139,,
25,pbc1,box1,80,stmp001360,bid80,,
26,pbc1,box1,89,stmp001513,bid89,,
27,pbc1,box2,20,stmp002040,bid120,,
28,pbc1,box1,70,stmp001190,bid70,,
29,pbc1,box1,72,stmp001224,bid72,,
30,pbc1,box2,44,stmp002448,bid144,,
31,pbc1,box1,39,stmp000663,bid39,,
32,pbc1,box2,63,stmp002771,bid163,,
33,pbc1,box2,49,stmp002533,bid149,,
34,pbc1,box2,19,stmp002023,bid119,,
35,pbc1,box2,25,stmp002125,bid125,,
36,pbc1,box1,48,stmp000816,bid48,,
37,pbc1,box2,91,stmp003247,bid191,,
38,pbc1,box1,71,stmp001207,bid71,,
39,pbc1,box1,29,stmp000493,bid29,,
40,pbc1,box1,86,stmp001462,bid86,,
41,pbc1,box1,35,stmp000595,bid35,,
42,pbc1,box1,75,stmp001275,bid75,,
43,pbc1,box2,72,stmp002924,bid172,,
44,pbc1,box2,42,stmp002414,bid142,,
45,pbc1,box1,54,stmp000918,bid54,,
46,pbc1,box1,23,stmp000391,bid23,,
47,pbc1,box1,9,stmp000153,bid9,,
48,pbc1,box1,17,stmp000289,bid17,,
49,pbc1,box2,83,stmp003111,bid183,,
50,pbc1,box2,18,stmp002006,bid118,,
51,pbc1,box1,57,stmp000969,bid57,,
52,pbc1,box1,91,stmp001547,bid91,,
53,pbc1,box2,51,stmp002567,bid151,,
54,pbc1,box2,37,stmp002329,bid137,,
55,pbc1,box2,65,stmp002805,bid165,,
56,pbc1,box2,64,stmp002788,bid164,,
57,pbc1,box2,99,stmp003383,bid199,,
58,pbc1,box1,63,stmp001071,bid63,,
59,pbc1,box2,96,stmp003332,bid196,,
60,pbc1,box2,16,stmp001972,bid116,,
61,pbc1,box1,96,stmp001632,bid96,,
62,pbc1,box1,30,stmp000510,bid30,,
63,pbc1,box1,11,stmp000187,bid11,,
64,pbc1,box1,62,stmp001054,bid62,,
65,pbc1,box1,60,stmp001020,bid60,,
66,pbc1,box1,79,stmp001343,bid79,,
67,pbc1,box1,18,stmp000306,bid18,,
68,pbc1,box2,9,stmp001853,bid109,,
69,pbc1,box2,57,stmp002669,bid157,,
70,pbc1,box2,5,stmp001785,bid105,,
71,pbc1,box2,10,stmp001870,bid110,,
72,pbc1,box1,74,stmp001258,bid74,,
73,pbc1,box2,67,stmp002839,bid167,,
74,pbc1,box1,77,stmp001309,bid77,,
75,pbc1,box2,11,stmp001887,bid111,,
76,pbc1,box2,90,stmp003230,bid190,,
77,pbc1,box1,78,stmp001326,bid78,,
78,pbc1,box1,31,stmp000527,bid31,,
79,pbc1,box1,14,stmp000238,bid14,,
80,pbc1,box2,17,stmp001989,bid117,,
81,pbc1,box1,45,stmp000765,bid45,,
82,pbc1,box2,6,stmp001802,bid106,,
83,pbc1,box1,98,stmp001666,bid98,,
84,pbc1,box2,82,stmp003094,bid182,,
85,pbc1,box2,1,stmp001717,bid101,,
86,pbc1,box2,85,stmp003145,bid185,,
87,pbc1,box2,61,stmp002737,bid161,,
88,pbc1,box1,10,stmp000170,bid10,,
89,pbc1,box2,60,stmp002720,bid160,,
90,pbc1,box1,16,stmp000272,bid16,,
91,pbc1,box1,41,stmp000697,bid41,,
92,pbc1,box1,90,stmp001530,bid90,,
93,pbc1,box1,26,stmp000442,bid26,,
94,pbc1,box2,41,stmp002397,bid141,,
95,pbc1,box2,94,stmp003298,bid194,,
96,pbc1,box1,1,stmp000017,bid1,,
97,pbc1,box1,20,stmp000340,bid20,,
98,pbc1,box1,76,stmp001292,bid76,,
99,pbc1,box2,46,stmp002482,bid146,,
100,pbc1,box2,59,stmp002703,bid159,,
101,pbc1,box1,99,stmp001683,bid99,,
102,pbc1,box2,53,stmp002601,bid153,,
103,pbc1,box2,40,stmp002380,bid140,,
104,pbc1,box1,40,stmp000680,bid40,,
105,pbc1,box1,92,stmp001564,bid92,,
106,pbc1,box1,27,stmp000459,bid27,,
107,pbc1,box2,4,stmp001768,bid104,,
108,pbc1,box1,66,stmp001122,bid66,,
109,pbc1,box2,71,stmp002907,bid171,,
110,pbc1,box2,77,stmp003009,bid177,,
111,pbc1,box2,84,stmp003128,bid184,,
112,pbc1,box1,15,stmp000255,bid15,,
113,pbc1,box1,67,stmp001139,bid67,,
114,pbc1,box2,97,stmp003349,bid197,,
115,pbc1,box2,12,stmp001904,bid112,,
116,pbc1,box1,32,stmp000544,bid32,,
117,pbc1,box2,79,stmp003043,bid179,,
118,pbc1,box2,47,stmp002499,bid147,,
119,pbc1,box2,89,stmp003213,bid189,,
120,pbc1,box1,58,stmp000986,bid58,,
121,pbc1,box2,92,stmp003264,bid192,,
122,pbc1,box2,81,stmp003077,bid181,,
