Collection,Ballot id,Contest,Selections
pbc1,bid1,con2,sel4
pbc1,bid4,con2,sel1
pbc1,bid7,con2,sel3
pbc1,bid9,con2,sel3
pbc1,bid11,con2,sel1
pbc1,bid12,con2,sel5
pbc1,bid13,con2,sel1
pbc1,bid14,con2,sel3
pbc1,bid15,con2,sel3
pbc1,bid18,con2,sel4
pbc1,bid19,con2,sel1
pbc1,bid24,con2,sel2
pbc1,bid26,con2,sel3
pbc1,bid28,con2,sel1
pbc1,bid29,con2,sel5
pbc1,bid31,con2,sel2
pbc1,bid34,con2,sel4
pbc1,bid36,con2,sel2
pbc1,bid37,con2,sel4
pbc1,bid39,con2,sel3
pbc1,bid40,con2,sel3
pbc1,bid42,con2,sel1
pbc1,bid45,con2,sel1
pbc1,bid47,con2,sel4
pbc1,bid51,con2,sel1
pbc1,bid52,con2,sel3
pbc1,bid53,con2,sel2
pbc1,bid57,con2,sel4
pbc1,bid58,con2,sel3
pbc1,bid59,con2,sel3
pbc1,bid63,con2,sel1
pbc1,bid65,con2,sel5
pbc1,bid67,con2,sel5
pbc1,bid73,con2,sel2
pbc1,bid77,con2,sel1
pbc1,bid78,con2,sel5
pbc1,bid79,con2,sel4
pbc1,bid80,con2,sel5
pbc1,bid82,con2,sel2
pbc1,bid83,con2,sel3
pbc1,bid84,con2,sel5
pbc1,bid86,con2,sel4
pbc1,bid87,con2,sel5
pbc1,bid89,con2,sel3
pbc1,bid90,con2,sel2
pbc1,bid91,con2,sel2
pbc1,bid92,con2,sel1
pbc1,bid94,con2,sel3
pbc1,bid95,con2,sel2
pbc1,bid97,con2,sel3
pbc1,bid99,con2,sel2
pbc1,bid100,con2,sel1
pbc1,bid101,con2,sel3
pbc1,bid103,con2,sel3
pbc1,bid105,con2,sel1
pbc1,bid107,con2,sel2
pbc1,bid109,con2,sel1
pbc1,bid113,con2,sel2
pbc1,bid114,con2,sel3
pbc1,bid115,con2,sel3
pbc1,bid118,con2,sel5
pbc1,bid120,con2,sel5
pbc1,bid121,con2,sel4
pbc1,bid122,con2,sel1
pbc1,bid126,con2,sel2
pbc1,bid128,con2,sel3
pbc1,bid130,con2,sel5
pbc1,bid131,con2,sel3
pbc1,bid132,con2,sel3
pbc1,bid136,con2,sel4
pbc1,bid138,con2,sel5
pbc1,bid142,con2,sel1
pbc1,bid143,con2,sel1
pbc1,bid145,con2,sel4
pbc1,bid148,con2,sel3
pbc1,bid151,con2,sel4
pbc1,bid159,con2,sel3
pbc1,bid161,con2,sel2
pbc1,bid162,con2,sel3
pbc1,bid165,con2,sel3
pbc1,bid170,con2,sel1
pbc1,bid171,con2,sel4
pbc1,bid172,con2,sel3
pbc1,bid174,con2,sel2
pbc1,bid175,con2,sel5
pbc1,bid178,con2,sel3
pbc1,bid179,con2,sel3
pbc1,bid180,con2,sel1
pbc1,bid181,con2,sel1
pbc1,bid182,con2,sel3
pbc1,bid183,con2,sel4
pbc1,bid184,con2,sel4
pbc1,bid186,con2,sel3
pbc1,bid189,con2,sel3
pbc1,bid191,con2,sel5
pbc1,bid192,con2,sel2
pbc1,bid193,con2,sel5
pbc1,bid195,con2,sel4
pbc1,bid196,con2,sel3
pbc1,bid197,con2,sel5
pbc1,bid198,con2,sel3
pbc1,bid200,con2,sel4
pbc1,bid4,con1,sel2
pbc1,bid5,con1,sel2
pbc1,bid7,con1,sel2
pbc1,bid8,con1,sel1
pbc1,bid9,con1,sel1
pbc1,bid10,con1,sel1
pbc1,bid12,con1,sel1
pbc1,bid14,con1,sel1
pbc1,bid18,con1,sel1
